Sub-Category,total_sales,growth_rate,volatility,avg_order_value,Cluster,Cluster_Label
Accessories,164186.7,3.1930445997264862,2579.99480907113,217.17817460317463,2,"High Volume, Growing Demand"
Appliances,104618.403,12.005280310608939,1821.6215390281989,227.92680392156865,1,"Low Volume, Declining Demand"
Art,26705.41,-3.300065860796676,330.4883427284576,34.019630573248406,1,"Low Volume, Declining Demand"
Binders,200028.785,35.90807824277042,3848.2236478754908,134.0675502680965,2,"High Volume, Growing Demand"
Bookcases,113813.1987,-29.888666860712178,2220.4050797251753,503.5982243362832,1,"Low Volume, Declining Demand"
Chairs,322822.73099999997,15.958848185455485,4407.232959811409,531.8331647446457,2,"High Volume, Growing Demand"
Copiers,146248.094,76.93066126293715,5500.774390527093,2215.8802121212125,0,"High Volume, Growing Demand"
Envelopes,16128.046,0.18987378766058483,228.21868781596007,65.03244354838709,1,"Low Volume, Declining Demand"
Fasteners,3001.96,73.55692339295408,48.74222863268981,14.02785046728972,1,"Low Volume, Declining Demand"
Furnishings,89212.018,30.79085519359011,1360.0178672616057,95.82386466165413,1,"Low Volume, Declining Demand"
Labels,12347.726,-3.197740520334776,223.47121839221342,34.587467787114846,1,"Low Volume, Declining Demand"
Machines,189238.631,101.36686407433419,5603.554746739796,1645.5533130434783,0,"High Volume, Growing Demand"
Paper,76828.304,38.60466334196219,1024.8249818349852,57.42025710014948,1,"Low Volume, Declining Demand"
Phones,327782.448,14.92487750294995,4052.718220520821,374.1808767123287,2,"High Volume, Growing Demand"
Storage,219343.392,35.61938531353973,2822.0843101166624,263.6338846153846,2,"High Volume, Growing Demand"
Supplies,46420.308,653.3398712101736,2025.0941389159009,252.28428260869563,3,"Low Volume, Declining Demand"
Tables,202810.628,71.65798488188139,3224.082504460717,645.8937197452229,2,"High Volume, Growing Demand"
